,htsc_code,time,frequency,open,close,high,low,volume,value,open_interest,settle
139,SC2409.INE,2024-05-07 15:16:26.000,daily,605.4,607.1,609.0,602.6,749.0,454154300.0,985.0,606.3
140,SC2409.INE,2024-05-08 15:15:08.000,daily,604.1,603.1,610.3,602.1,892.0,539288100.0,1096.0,604.5
141,SC2409.INE,2024-05-09 15:14:10.000,daily,601.5,608.8,609.5,601.5,698.0,423272200.0,1076.0,606.4
142,SC2409.INE,2024-05-10 15:18:53.000,daily,610.0,613.9,614.3,607.4,795.0,485734600.0,1066.0,610.9
143,SC2409.INE,2024-05-13 15:17:00.000,daily,610.4,604.5,613.5,599.8,1284.0,778463600.0,1243.0,606.2
144,SC2409.INE,2024-05-14 15:16:23.500,daily,607.9,608.8,611.1,606.2,1228.0,747437700.0,1328.0,608.6
145,SC2409.INE,2024-05-15 16:01:06.000,daily,605.0,604.4,606.0,600.5,1247.0,752521500.0,1457.0,603.4
146,SC2409.INE,2024-05-16 15:22:48.500,daily,600.6,604.0,604.8,592.3,1326.0,793527700.0,1509.0,598.4
147,SC2409.INE,2024-05-17 15:16:31.000,daily,604.3,611.1,611.1,603.5,2227.0,1354119300.0,2104.0,608.0
148,SC2409.INE,2024-05-20 15:17:19.000,daily,612.2,616.4,616.8,607.7,3162.0,1937114300.0,3194.0,612.6
149,SC2409.INE,2024-05-21 15:19:22.000,daily,611.9,607.8,617.5,607.7,4954.0,3033802400.0,4095.0,612.3
150,SC2409.INE,2024-05-22 15:23:44.000,daily,604.5,602.6,612.2,602.3,6182.0,3749353300.0,4911.0,606.4
151,SC2409.INE,2024-05-23 15:19:46.000,daily,603.0,599.6,606.2,595.6,6206.0,3729665400.0,5631.0,600.9
152,SC2409.INE,2024-05-24 15:18:48.000,daily,606.7,596.8,607.6,594.2,6172.0,3710469000.0,5739.0,601.1
153,SC2409.INE,2024-05-27 15:45:14.500,daily,596.0,602.9,604.1,595.9,7230.0,4349251700.0,7273.0,601.5
154,SC2409.INE,2024-05-28 15:21:36.000,daily,604.5,607.9,609.9,604.3,5667.0,3443831600.0,8279.0,607.6
155,SC2409.INE,2024-05-29 15:19:18.000,daily,610.7,616.5,618.0,609.3,6463.0,3973828200.0,8828.0,614.8
156,SC2409.INE,2024-05-30 15:19:59.500,daily,616.4,609.1,618.8,608.9,6122.0,3755759200.0,9424.0,613.4
157,SC2409.INE,2024-05-31 15:14:22.000,daily,606.8,601.1,612.1,598.7,9980.0,6053113700.0,10573.0,606.5
158,SC2409.INE,2024-06-03 15:26:09.500,daily,605.8,595.1,605.9,592.7,7169.0,4288901700.0,11925.0,598.2
159,SC2409.INE,2024-06-04 15:19:31.000,daily,594.8,571.5,595.8,570.7,10466.0,6062071400.0,12553.0,579.2
160,SC2409.INE,2024-06-05 15:16:34.000,daily,569.8,568.8,572.0,566.0,7823.0,4452785600.0,13061.0,569.1
161,SC2409.INE,2024-06-06 15:24:56.000,daily,572.5,576.1,577.1,567.2,7581.0,4345803600.0,13590.0,573.2
162,SC2409.INE,2024-06-07 15:22:18.500,daily,574.3,582.1,585.7,572.7,8453.0,4912321100.0,13925.0,581.1
163,SC2409.INE,2024-06-11 15:24:29.000,daily,595.0,594.2,596.7,591.9,5339.0,3172340800.0,12937.0,594.1
164,SC2409.INE,2024-06-12 15:46:31.500,daily,594.5,600.4,601.8,592.6,6695.0,4003864500.0,13405.0,598.0
165,SC2409.INE,2024-06-13 15:16:52.500,daily,604.5,597.8,606.2,596.5,9770.0,5859353700.0,13309.0,599.7
166,SC2409.INE,2024-06-14 15:20:54.500,daily,598.0,597.8,603.3,596.5,7808.0,4682799500.0,13673.0,599.7
167,SC2409.INE,2024-06-17 15:21:59.500,daily,603.0,594.3,604.3,594.1,8163.0,4893054000.0,13898.0,599.4
168,SC2409.INE,2024-06-18 15:19:20.000,daily,597.5,605.2,608.3,597.5,8043.0,4855937600.0,14188.0,603.7
169,SC2409.INE,2024-06-19 15:15:22.000,daily,606.6,612.6,615.3,606.0,12263.0,7503500300.0,13942.0,611.8
170,SC2409.INE,2024-06-20 15:20:04.000,daily,616.5,615.0,617.8,612.6,10664.0,6561095100.0,13783.0,615.2
171,SC2409.INE,2024-06-21 15:16:26.500,daily,618.0,615.5,620.3,615.4,13424.0,8296950500.0,13921.0,618.0
172,SC2409.INE,2024-06-24 15:49:15.000,daily,616.1,614.2,620.5,611.0,19040.0,11722776600.0,13902.0,615.6
173,SC2409.INE,2024-06-25 15:13:35.500,daily,613.6,619.8,622.0,611.5,15810.0,9769874000.0,13903.0,617.9
174,SC2409.INE,2024-06-26 15:14:37.000,daily,617.9,618.6,621.6,613.6,15444.0,9541148100.0,14264.0,617.7
175,SC2409.INE,2024-06-27 15:18:19.000,daily,617.2,616.7,621.3,612.7,20898.0,12884405100.0,15615.0,616.5
176,SC2409.INE,2024-06-28 15:19:20.500,daily,622.3,625.8,626.0,618.0,23273.0,14498696500.0,17153.0,622.9
177,SC2409.INE,2024-07-01 15:19:26.000,daily,624.7,624.7,625.1,617.6,18669.0,11607735500.0,18579.0,621.7
178,SC2409.INE,2024-07-02 15:16:47.500,daily,624.5,631.8,632.5,621.5,19777.0,12420264900.0,19151.0,628.0
179,SC2409.INE,2024-07-03 15:15:30.000,daily,636.3,633.2,636.4,628.3,19248.0,12174241500.0,19875.0,632.4
180,SC2409.INE,2024-07-04 15:16:13.500,daily,631.3,631.2,636.6,626.6,22293.0,14067062400.0,20500.0,631.0
181,SC2409.INE,2024-07-05 15:19:35.500,daily,632.3,632.8,636.5,631.3,14055.0,8910461500.0,20534.0,633.9
182,SC2409.INE,2024-07-08 15:16:02.500,daily,635.0,624.7,637.4,624.6,23913.0,15101112600.0,21112.0,631.5
183,SC2409.INE,2024-07-09 15:13:25.000,daily,625.0,622.9,626.5,621.3,17134.0,10688379100.0,21507.0,623.8
184,SC2409.INE,2024-07-10 15:26:07.500,daily,621.4,612.0,623.5,610.6,37928.0,23401997900.0,19991.0,617.0
185,SC2409.INE,2024-07-11 15:19:10.500,daily,613.8,622.8,624.4,612.2,33493.0,20715201000.0,20421.0,618.4
186,SC2409.INE,2024-07-12 15:16:52.000,daily,620.4,621.4,621.7,613.5,34224.0,21141260100.0,20149.0,617.7
187,SC2409.INE,2024-07-15 15:51:01.500,daily,621.7,616.7,622.1,613.4,36027.0,22281300300.0,21752.0,618.4
188,SC2409.INE,2024-07-16 15:16:04.000,daily,617.6,612.3,618.6,611.2,36865.0,22681004500.0,22429.0,615.2
189,SC2409.INE,2024-07-17 15:15:25.000,daily,606.5,606.6,611.7,605.0,58341.0,35473129700.0,25599.0,608.0
190,SC2409.INE,2024-07-18 15:15:47.500,daily,611.0,618.6,619.2,609.7,86366.0,53044207800.0,29975.0,614.1
191,SC2409.INE,2024-07-19 15:15:49.500,daily,612.6,611.2,616.0,609.1,98355.0,60235268700.0,29327.0,612.4
192,SC2409.INE,2024-07-22 15:16:11.000,daily,613.9,597.4,614.4,594.5,133262.0,80510200400.0,33069.0,604.1
193,SC2409.INE,2024-07-23 15:15:12.500,daily,591.9,593.1,597.3,590.3,81899.0,48636577300.0,31226.0,593.8
194,V2409.DCE,2024-05-06 15:03:00.208,daily,5906.0,5934.0,5947.0,5901.0,462832.0,13709957015.0,887695.0,5924.0
195,V2409.DCE,2024-05-07 15:03:00.090,daily,5934.0,6032.0,6041.0,5933.0,1089991.0,32683640250.0,952665.0,5997.0
196,V2409.DCE,2024-05-08 15:03:08.549,daily,6035.0,6021.0,6078.0,6013.0,1062169.0,32099062540.0,936544.0,6044.0
197,V2409.DCE,2024-05-09 15:02:19.549,daily,6026.0,6018.0,6056.0,6009.0,816676.0,24642025005.0,914216.0,6034.0
198,V2409.DCE,2024-05-10 15:02:23.699,daily,6017.0,5986.0,6033.0,5964.0,901676.0,27036980605.0,908367.0,5997.0
199,V2409.DCE,2024-05-13 15:03:06.531,daily,5989.0,6043.0,6052.0,5987.0,905916.0,27265990165.0,914157.0,6019.0
200,V2409.DCE,2024-05-14 15:03:08.478,daily,6049.0,6030.0,6066.0,6016.0,709961.0,21437226870.0,888846.0,6038.0
